_id,Job Name,Company,Location,URL
5edcbe717668b7edda25c17f,Senior Java Backend Developer,Oracle,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-java-backend-developer-at-oracle-1878588779?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c180,Java Backend developer,Altran,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-backend-developer-at-altran-1848827596?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c181,Java Software Engineer,Pitstop - Car | Care | Convenience,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-software-engineer-at-pitstop-car-care-convenience-1877021755?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c182,Back End Developer,Supineconsultants.com,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/back-end-developer-at-supineconsultants-com-1877455054?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c183,Backend Developer,Reliance Communications,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/backend-developer-at-reliance-communications-1895797344?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c184,Java Developer,IDEMIA,"Greater Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/java-developer-at-idemia-1848138643?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c185,Senior Java Software Engineer,Fractal Enterprises LLP,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-java-software-engineer-at-fractal-enterprises-llp-1893396937?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c186,Java Full Stack Engineer,Walmart Labs India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-full-stack-engineer-at-walmart-labs-india-1877008231?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c187,Java Software Engineer,Optimum Info System Private Limited,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/java-software-engineer-at-optimum-info-system-private-limited-1877036907?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c188,Java Developer,SHL,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/java-developer-at-shl-1843021821?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c189,Java Software Engineer,Sequoia Applied Technologies,Greater Chennai Area,https://in.linkedin.com/jobs/view/java-software-engineer-at-sequoia-applied-technologies-1864660803?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c18a,Java SE,Synchronoss Technologies,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-se-at-synchronoss-technologies-1892405775?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c18b,Java Developer,Jindal Saw Limited,"Bibinagar, Telangana, India",https://in.linkedin.com/jobs/view/java-developer-at-jindal-saw-limited-1895625734?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5edcbe717668b7edda25c18c,Java Developer,FIS,"Mohali, Punjab, India",https://in.linkedin.com/jobs/view/java-developer-at-fis-1873431077?refId=b17fdb65-12f2-4683-a9af-bedadf53c3fd&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
